threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.38,0.24
0.06,0.32,0.96,0.48,0.51
0.11,0.36,0.91,0.51,0.59
0.17,0.48,0.87,0.61,0.74
0.22,0.55,0.84,0.67,0.8
0.28,0.58,0.84,0.69,0.82
0.33,0.62,0.84,0.72,0.84
0.39,0.6,0.78,0.68,0.83
0.44,0.64,0.76,0.69,0.84
0.5,0.64,0.64,0.64,0.83
0.56,0.62,0.4,0.49,0.8
0.61,0.75,0.4,0.52,0.83
0.67,0.74,0.38,0.5,0.82
0.72,0.83,0.33,0.48,0.83
0.78,0.88,0.31,0.46,0.83
0.83,1.0,0.18,0.3,0.81
0.89,1.0,0.13,0.24,0.8
0.94,1.0,0.04,0.09,0.77
1.0,0.0,0.0,0.0,0.76
